	FN	FP
simNo_1-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.049	0.000094
simNo_1-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.114	0.000111
simNo_1-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.050	0.000081
simNo_1-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.096	0.000125
simNo_1-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.050	0.000105
simNo_1-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.098	0.000093
simNo_1-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.054	0.000111
simNo_1-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.103	0.000093
simNo_1-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.042	0.000095
simNo_1-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.122	0.000105
simNo_1-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.051	0.000103
simNo_1-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.088	0.000083
simNo_1-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.046	0.000086
simNo_1-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.089	0.000095
simNo_1-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.043	0.000097
simNo_1-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.106	0.000085
simNo_1-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.058	0.000092
simNo_1-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.095	0.000108
simNo_2-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.045	0.000081
simNo_2-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.098	0.000103
simNo_2-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.045	0.000107
simNo_2-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.123	0.000109
simNo_2-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.053	0.000104
simNo_2-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.107	0.000107
simNo_2-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.054	0.000098
simNo_2-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.097	0.000092
simNo_2-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.049	0.000084
simNo_2-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.085	0.000102
simNo_2-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.046	0.000091
simNo_2-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.101	0.000115
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.044	0.000116
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.090	0.000097
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.049	0.000095
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.093	0.000093
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.054	0.000107
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.114	0.000107
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.043	0.000112
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.091	0.000102
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.048	0.000092
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.114	0.000117
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.059	0.000109
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.098	0.000098
simNo_3-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.045	0.000101
simNo_3-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.104	0.000107
