cell/mut	ADH7	ANP32A-IT1	APOOL	ARAF	BRWD3	BTBD11	BTN3A1	C17orf76-AS1	C1QL4	C1R	CCDC15	CCDC97	CES3	COBLL1	COL5A2	CP	CPEB2	CUX1	DDX19A	DFNB31	DGCR8	DOCK5	DOCK5	DST	F5	FAM47B	FAT1	FGD6	FGF3	FRZB	GALNT13	GJA5	IARS2	IKBKB	IL1RL1	ITPKB	KLRF1	KRAS	LEPROT	LINC00602	MANBA	MATR3	MAU2	NAMPT	NBPF10	NHS	NOM1	OR6B3	PAK7	PER2	PLK2	PNCK	PPM1F	PPP1R3E	PPP4R4	RAPGEF5	RNF180	SDPR	SEMA6A	SERPINA1	SERPINB11	SH3BP1	SIGLEC11	SLC7A9	SORL1	SRGN	SYN1,TIMP1	TBX22	THRAP3	TMEM87A	TRHR	TSHZ2	TSIX	TUG1	VAX1	VWDE	ZNF568	ZNF813
cell1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell2	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell4	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell5	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell6	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell7	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell8	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell9	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell10	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
